HCPCS_Code,Code,generic,range,WAC per Unit
J9201,J,1,10,148.19
J1815,J,1,10,5.506194117769231
J1817,J,1,10,15.1350000025
J9305,J,1,10,71.07235636363636
J2358,J,0,10,2.808
J1610,J,1,10,607.7777777777778
J3110,J,1,10,63.30716667
S5550,S,0,9,2.1156141479099677
J3301,J,1,10,5.177234513274336
J0485,J,0,10,3.777608495575221
J0129,J,0,10,235.70171125000002
J9228,J,0,10,147.71698584070796
J1740,J,1,10,173.68035397610618
J0696,J,1,10,15.7175
J1570,J,1,10,118.96
J0743,J,1,10,18.330295652173913
J0637,J,1,10,33.7
J1335,J,1,10,69.4
J1453,J,1,10,2.230866667
J1652,J,1,10,13.087222222222222
J9351,J,1,10,29.4964756097561
J8705,J,0,10,102.76124
J9261,J,1,10,150.02286075949368
J9330,J,1,10,70.04421592920355
J3243,J,1,10,8.138
J1720,J,0,10,13.910985714285715
J2920,J,1,10,6.144946666666667
J2930,J,1,10,11.67981946902655
J1000,J,0,10,22.119539823008846
J1020,J,1,10,6.148669026548673
J1030,J,1,10,10.339857252747253
J1040,J,1,10,18.021485714285713
J2010,J,1,10,16.826
J1050,J,1,10,0.506057692
J1742,J,1,10,468.1236263736264
J2020,J,1,10,61.68592920353983
J7504,J,1,10,2259.901
J9206,J,1,10,59.48263157894737
J9211,J,1,10,94.9095575221239
J1190,J,1,10,296.195
J9207,J,0,10,100.32008333397727
J9050,J,1,10,3734.24
J0585,J,0,10,6.6426548672566375
J7312,J,0,10,191.23767379999998
J9217,J,1,10,3183.1096668
J9263,J,1,10,13.27685
J2916,J,1,10,6.525723893805311
J2783,J,0,10,290.7339724646018
J9043,J,0,10,185.13691150353984
J9400,J,0,10,16.0
J2820,J,1,10,60.37738823529412
J2562,J,1,10,343.5099741929203
J7192,J,1,10,1.6751327433628318
J0698,J,1,10,5.03
J1410,J,0,10,298.50867256637173
J0295,J,1,10,7.835142857142857
J0348,J,0,10,1.836566371681416
J3465,J,1,10,7.195128318584071
J3486,J,1,10,35.94117647058823
J7307,J,1,10,1077.265
J7303,J,0,7,147.85349056603772
J9031,J,0,5,
J7193,J,1,10,1.6192
J0256,J,1,10,12.857971014492753
J7190,J,1,10,1.44
J3300,J,0,10,4.283234513274336
J1644,J,1,10,11.8383
J3060,J,0,10,39.835305309734515
J9100,J,1,10,26.519142857142857
J2405,J,1,10,6.007027173913043
J9000,J,1,10,154.734
J0456,J,1,10,10.2
J2501,J,1,10,10.8329203539823
J1950,J,0,10,2843.958170940708
J0135,J,0,10,6922.62
J1650,J,1,10,11.088627838934066
J2597,J,1,10,19.87555412371134
J7516,J,1,10,61.53944444444445
J0630,J,1,10,3132.1
J2354,J,1,10,6.9424
J7515,J,1,10,14.569252032520325
J0480,J,0,10,5606.945486725664
J2353,J,0,10,328.6474920634921
J0895,J,1,10,34.1588
J7518,J,1,10,5.790015899381579
J3489,J,1,10,231.20374999999999
J7527,J,1,10,69.72170634920634
J7682,J,1,10,400.0
J0638,J,0,10,111.26969957594936
J9214,J,1,10,36.534942307692305
J0702,J,1,10,16.30971681415929
J9328,J,0,10,9.239024778761062
J2280,J,1,10,12.764375
S0148,S,0,9,91.56128820754716
J1260,J,0,2,18.335859645789473
J7614,J,1,10,16.41465151625
J1450,J,1,10,18.32007079646018
J1956,J,1,10,99.13432835820896
J2675,J,1,10,3.1289999999999996
J0515,J,1,10,70.50312500000001
J1626,J,1,10,8.66
J3105,J,1,10,18.23428571428571
J1800,J,1,10,9.740973451327434
J0694,J,1,10,11.378608038336283
J0690,J,1,10,6.431159292035399
J0697,J,1,10,9.999999997829267
J7189,J,0,10,2.2486607142857142
J2780,J,1,6,30.814999999999998
J9302,J,0,10,59.29620512820513
J2795,J,1,10,4.325
J7626,J,1,10,10.258
J3396,J,0,10,11.129343953893807
J2543,J,1,10,8.563862198
J0588,J,0,10,4.982035398230089
J7060,J,1,10,331.18804469273744
J0713,J,1,10,11.171875
J7030,J,1,10,445.70444444444445
J7040,J,1,10,396.7870781893005
J7070,J,1,10,504.81745098039215
J7042,J,1,10,5.25
J7120,J,1,10,565.3107964601769
J7050,J,1,10,130.99700704225353
J2810,J,1,10,1.588
Q9958,Q,1,10,0.30829579439252336
J2805,J,1,10,124.13
A9576,A,0,10,5.5272
A9577,A,0,10,5.9292
A9578,A,0,10,5.5272
J2185,J,1,10,6.90269375
J9395,J,1,10,436.2875
J9202,J,1,10,728.315
J0692,J,1,10,26.957171391783504
J9209,J,1,10,13.124601769911504
J3370,J,1,10,14.887230769230769
J9208,J,1,10,72.73823008849557
J8560,J,0,10,73.36033628318583
J7613,J,1,10,2.853333333
Q9965,Q,0,10,4.0045
Q9956,Q,1,10,46.8
J9171,J,1,10,32.0
J9268,J,1,10,2256.4749557522123
J2175,J,1,10,36.1349090909091
J1790,J,1,10,7.573336708860759
J1580,J,1,10,109.81347984395605
J2310,J,1,10,200.0
J3360,J,1,10,12.945946902654867
